id,school_name,lat,lon,lead_present
1,Academy (The) - SF @ McAteer,37.745314,-122.448565,FALSE
2,Alamo ES,37.7830048,-122.4822998,TRUE
3,Alice Fong Yu ES,37.7589645,-122.4696808,FALSE
4,Alvarado Elementary School,37.7536812,-122.4381943,TRUE
5,Aptos Middle School,37.7296715,-122.4657822,FALSE
6,Argonne ES,37.7753067,-122.4763107,FALSE
7,Asawa (Ruth) SF School of the Arts,37.7453156,-122.4488297,TRUE
8,Balboa High School,37.7211418,-122.4413986,TRUE
9,Bessie Carmichael ES,37.7763824,-122.406456,FALSE
10,Bessie Carmichael MS,37.7805595,-122.4004898,TRUE
11,Bret Harte ES,37.7178993,-122.3892212,TRUE
12,Brown Jr. (Willie L) Middle School,37.7364769,-122.3995743,FALSE
13,Bryant ES,37.7514534,-122.4046936,TRUE
14,Buena Vista/Horace Mann K-8,37.7530327,-122.4201813,TRUE
15,Burton (Phillip and Sala) Academic High School,37.7215462,-122.4065552,TRUE
16,Cesar Chavez ES,37.754921,-122.4148788,FALSE
17,Chinese Ed. Center ES,37.7947693,-122.4040604,TRUE
18,Chinese Immersion School,37.7698288,-122.4442749,TRUE
19,City Arts & Tech High School,37.7187843,-122.4246674,TRUE
20,Civic Center SS,37.7802963,-122.4229431,TRUE
21,Claire B. Lilienthal 3-8 Scott Campus,37.80336,-122.4432373,TRUE
22,Claire B. Lilienthal K-2 Madison Campus,37.7872009,-122.4580154,FALSE
23,Clarendon ES,37.7537537,-122.4562683,FALSE
24,Cleveland ES,37.7203407,-122.4291916,FALSE
25,Commodore Sloat ES,37.7312584,-122.4704819,TRUE
26,Cooper (Sarah B) Children Center,37.801011,-122.415092,FALSE
27,Creative Arts Charter,37.7798042,-122.4360733,TRUE
28,D. Feinstein ES,37.7396851,-122.481369,FALSE
29,Daniel Webster ES,37.7620087,-122.4007721,TRUE
30,Denman (James) Middle School,37.7213097,-122.4431839,FALSE
31,Downtown HS,37.7613983,-122.4037018,TRUE
32,Dr. William Cobb ES,37.7876778,-122.4395523,FALSE
33,Drew (Charles) College Prep.,37.7317963,-122.3938904,FALSE
34,Edison Charter School,37.754467,-122.4260406,FALSE
35,Edward R. Taylor ES,37.7273293,-122.4073105,FALSE
36,Everett Middle School,37.7635765,-122.4293671,FALSE
37,Excelsior Monroe OST,37.725399,-122.4304886,FALSE
38,Fairmount ES,37.7404327,-122.4250107,TRUE
39,Francis Scott Key ES,37.7580986,-122.5019989,FALSE
40,Francisco Middle School,37.8045692,-122.410965,FALSE
41,Frank McCoppin ES,37.77631,-122.4644775,FALSE
42,Galileo High School,37.803791,-122.4241486,TRUE
43,Gateway High School,37.7832642,-122.4366913,TRUE
44,Gateway Middle School,37.7794189,-122.4359207,FALSE
45,George Moscone ES,37.7567406,-122.4126205,FALSE
46,George Peabody ES,37.7838554,-122.4650269,TRUE
47,George Washington Carver ES,37.7316666,-122.3853378,TRUE
48,Giannini (A.P.) Middle School,37.7503014,-122.496666,FALSE
49,Glen Park ES,37.7331314,-122.4356232,TRUE
50,Grattan ES,37.7634926,-122.4504242,TRUE
51,Guadalupe ES,37.7101822,-122.4340286,FALSE
52,Harvey Milk ES,37.7589264,-122.4364471,FALSE
53,Havard (Leona M) Early Education,37.7340851,-122.388588,FALSE
54,Hillcrest ES,37.7284126,-122.4186859,TRUE
55,Hilltop HS (Pregnant Minors),37.7504539,-122.4096298,TRUE
56,Hoover (Herbert) MS,37.7455559,-122.4689636,TRUE
57,Independence High School,37.7632256,-122.4635849,FALSE
58,International Study HS,37.7617035,-122.4006882,TRUE
59,Jean Parker ES,37.7976189,-122.4110413,TRUE
60,Jefferson Early Education,37.762367,-122.483319,FALSE
61,Jefferson ES,37.7630653,-122.4767303,TRUE
62,John Muir ES,37.7737579,-122.4286804,FALSE
63,John O'Connell HS,37.7595139,-122.413559,FALSE
64,John Yehall Chin ES,37.7986107,-122.4032211,TRUE
65,Jordan (June) School for Equity,37.7195358,-122.425148,TRUE
66,Jose Ortega ES,37.7167816,-122.4666748,TRUE
67,King Jr. (Martin Luther) Academic Middle School,37.7277412,-122.4058075,TRUE
68,KIPP Bayview Academy,37.719532,-122.3965607,TRUE
69,KIPP San Francisco Bay Academy,37.783472,-122.436904,FALSE
70,KIPP San Francisco College Prep,37.732386,-122.382256,TRUE
71,Lafayette Elementary School,37.7770691,-122.4968872,TRUE
72,Lakeshore ES,37.7303238,-122.4854202,TRUE
73,Lau (Gordon J.) Elementary School,37.7943993,-122.4088058,FALSE
74,Lawton Alternative Elementary School,37.758049,-122.4890976,TRUE
75,Leadership High School,37.721492,-122.444888,FALSE
76,Leonard R. Flynn ES,37.7477455,-122.4119644,FALSE
77,Lick (James) Middle School,37.7493629,-122.432785,FALSE
78,Life Learning Academic Charter School,37.8255119,-122.3679962,TRUE
79,Lincoln (Abraham) High School,37.7465935,-122.4802399,FALSE
80,Longfellow Elementary School,37.7104225,-122.4467392,TRUE
81,Lowell High School,37.729435,-122.4830551,TRUE
82,Mahler (Theresa S) Children Center,37.755274,-122.428012,FALSE
83,Malcolm X ES,37.7342377,-122.3809662,TRUE
84,Marina Middle School,37.8018265,-122.4354782,TRUE
85,Marshall (Thurgood) High School,37.7363091,-122.4016495,TRUE
86,Marshall ES,37.7662888,-122.4190216,TRUE
87,McClaren (John) Children Center,37.713131,-122.4231873,FALSE
88,McKinley ES,37.7668839,-122.4362793,TRUE
89,Miraloma ES,37.738636,-122.4501877,TRUE
90,Mission Ed Center,37.7422028,-122.4314346,FALSE
91,Mission High School,37.7620201,-122.4273071,TRUE
92,Mission Preparatory Charter School,37.755173,-122.408721,FALSE
93,New School of San Francisco,37.76172,-122.400623,TRUE
94,New Tradition ES,37.7738838,-122.450264,FALSE
95,Noriega ES,37.7538338,-122.5036545,TRUE
96,Paul Revere MS,37.7376137,-122.4131165,FALSE
97,Presidio Early Education,37.7975197,-122.4611053,FALSE
98,Presidio MS,37.7808647,-122.489624,FALSE
99,Redding ES,37.7895203,-122.4192505,TRUE
100,Robert L Stevenson ES,37.7488441,-122.4927597,FALSE
101,"Rodriguez, Zaida T. Early Education",37.7498207,-122.4185562,FALSE
102,Rooftop Burnett Campus,37.7548103,-122.443222,TRUE
103,Rooftop Mayeda Campus,37.7573967,-122.4444962,TRUE
104,Roosevelt MS,37.78228,-122.4583511,TRUE
105,Rosa Parks ES,37.7830086,-122.4295044,FALSE
106,San Miguel Children Center,37.7216454,-122.4447098,FALSE
107,Sanchez ES,37.7634544,-122.4303589,TRUE
108,Serra (Junipero) Elementary School,37.7369118,-122.4214859,TRUE
109,"Serra, Junipero (Annex) Early Education School",37.740029,-122.424871,FALSE
110,SF Community Alt,37.7261047,-122.4321365,TRUE
111,SF County Court Woodside Learning Center,37.745931,-122.452907,TRUE
112,SF Public Montessori ES,37.79294,-122.433586,FALSE
113,Sheridan ES,37.7144775,-122.4596329,TRUE
114,Sherman ES,37.797802,-122.4261169,TRUE
115,Spring Valley ES,37.7940063,-122.4188156,TRUE
116,Starr King ES,37.7532883,-122.3991928,FALSE
117,Stockton (Commodore) Children Center,37.7950821,-122.4090805,FALSE
118,Sunnyside ES,37.7302933,-122.4482574,FALSE
119,Sunset ES,37.7505226,-122.4991531,FALSE
120,Sutro ES,37.7836037,-122.4714508,FALSE
121,Tenderloin ES,37.7817955,-122.4197769,FALSE
122,Tule Elk Park,37.7994194,-122.4345627,FALSE
123,Ulloa ES,37.7373161,-122.4993973,FALSE
124,Visitacion Valley ES,37.7125244,-122.4098969,FALSE
125,Visitacion Valley MS,37.715744,-122.4120789,TRUE
126,Wallenberg (Raoul) Traditional High School,37.7806473,-122.4459534,TRUE
127,Washington (George) High School,37.7779045,-122.4910126,FALSE
128,Weill (Raphael) Children Center,37.783291,-122.42987,FALSE
129,"Wells, Ida B High School",37.775013,-122.4338989,FALSE
130,West Portal ES,37.7428741,-122.4643478,TRUE
131,Yick Wo ES,37.80196,-122.4166107,FALSE
